Ação;Cotação;Dividend Yield (%);DPA (12m);Preço Teto;Margem Segurança (%)
ITUB3;45,73;7,0;3,2;53,35;16,67
CPLE3;15,21;6,99;1,06;17,72;16,5
AXIA3;52,37;6,97;3,65;60,84;16,17
TIMS3;22,91;6,91;1,58;26,38;15,17
BGIP3;48,08;6,9;3,32;55,29;15,0
MILS3;15,47;6,88;1,06;17,74;14,67
ROMI3;6,13;6,86;0,42;7,01;14,33
BBDC4;18,56;6,78;1,26;20,97;13,0
AXIA6;59,2;6,78;4,01;66,9;13,0
CATA3;103,61;6,63;6,87;114,49;10,5
KEPL3;6,54;6,63;0,43;7,23;10,5
SLCE3;13,74;6,59;0,91;15,09;9,83
FLRY3;16,46;6,56;1,08;18,0;9,33
RECV3;10,44;6,56;0,68;11,41;9,33
PETR4;40,69;6,48;2,64;43,95;8,0
YDUQ3;8,92;6,39;0,57;9,5;6,5
ISAE4;29,06;6,38;1,85;30,9;6,33
PATI4;29,5;6,31;1,86;31,02;5,17
LREN3;14,3;6,3;0,9;15,02;5,0
HBTS5;32,38;6,23;2,02;33,62;3,83
BNBR3;113,25;6,2;7,02;117,02;3,33
FESA3;10,45;6,11;0,64;10,64;1,83
AXIA5;55,5;6,02;3,34;55,68;0,33
