Empresa;Ticker;Setor;Cotação;Dividend Yield;P/L;Margem Líquida;Divida Líquida/EBIT;ROE;ROIC;Liquidez Média Diária;Posição
ITAU UNIBANCO HOLDING S.A.;ITUB3;Bancos;41,68;8,5;9,82;12,13;;21,5;;87359313,05;38
BCO BRADESCO S.A.;BBDC4;Bancos;16,7;9,34;7,2;8,2;;13,56;;547347599,73;39
CPFL ENERGIA S.A.;CPFE3;Energia Elétrica;43,18;8,66;8,63;12,79;2,35;23,72;15,41;53720447,73;40
BEMOBI MOBILE TECH S.A.;BMOB3;Programas e Serviços;23,1;9,24;12,38;8,91;-1,95;16,39;12,15;5829059,59;41
LOJAS RENNER S.A.;LREN3;Tecidos, Vestuário e Calçados;11,95;7,55;8,03;9,35;-0,65;14,41;12,61;212970236,32;42
CEA MODAS S.A.;CEAB3;Tecidos, Vestuário e Calçados;8,52;6,14;4,66;7,02;0,17;14,79;16,09;69149097,45;43
BCO MERCANTIL DO BRASIL S.A.;BMEB4;Bancos;56,8;6,14;8,3;8,94;;27,16;;2071749,23;44
EUCATEX S.A. INDUSTRIA E COMERCIO;EUCA4;Madeira;21,52;5,2;4,89;13,03;0,86;13,91;12,97;1402450,82;45
ENGIE BRASIL ENERGIA S.A.;EGIE3;Energia Elétrica;28,83;5,05;10,31;28,94;3,75;26,37;9,8;156001719,77;46
BANCO BMG S.A.;BMGB4;Bancos;4,93;9,09;5,38;6,79;;11,89;;4684278,91;47
ISA ENERGIA BRASIL S.A;ISAE4;Energia Elétrica;25,47;7,27;6,36;26,39;3,09;12,71;10,43;105532259,95;48
CIA ENERGETICA DE MINAS GERAIS - CEMIG;CMIG4;Energia Elétrica;10,39;7,92;6,15;11,15;2,67;16,75;12,58;113974671,14;49
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;CXSE3;Seguradoras;18,49;7,3;12,64;;;31,89;;131182927,86;50
BCO SANTANDER (BRASIL) S.A.;SANB4;Bancos;14,62;8,27;7,81;8,33;;11,03;;8366761,64;51
BCO SANTANDER (BRASIL) S.A.;SANB11;Bancos;29,72;7,78;7,92;8,33;;11,03;;183931469,36;52
PORTO SEGURO S.A.;PSSA3;Seguradoras;48,52;6,21;8,51;;;22,84;;74042176,32;53
CIA ENERGETICA DE MINAS GERAIS - CEMIG;CMIG3;Energia Elétrica;15,31;5,38;9,06;11,15;2,67;16,75;12,58;1360068,09;54
BCO SANTANDER (BRASIL) S.A.;SANB3;Bancos;15,03;7,31;8,02;8,33;;11,03;;8070172,55;55
CIA PARANAENSE DE ENERGIA - COPEL;CPLE3;Energia Elétrica;13,82;7,69;13,15;11,2;3,62;12,99;10,53;210430390,55;56
FLEURY S.A.;FLRY3;Serv.Méd.Hospit. Análises e Diagnósticos;18,05;8,2;14,02;8,01;2,62;13,0;10,58;52448490,14;57
LOCALIZA RENT A CAR S.A.;RENT3;Aluguel de carros;34,71;6,01;11,42;7,39;3,93;12,63;11,56;293844222,41;58
IRB - BRASIL RESSEGUROS S.A.;IRBR3;Seguradoras;49,32;3,15;11,53;;;6,59;;25470144,32;59
VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.;VAMO3;Aluguel de carros;2,69;5,19;10,77;5,09;4,51;11,81;12,65;33163550,95;60
